iteration,cost,selected operator,applied changes,improved cost
292,7.378960442621976,RELOCATE,True,True
293,8.122386095250734,TWOOPT,True,False
294,8.302963823938224,RELOCATE,True,False
295,8.26708638825078,TWOOPT,True,True
296,8.275623327893802,TWOOPT,True,False
297,8.092845614664327,RELOCATE,True,True
298,8.201392516104942,RELOCATE,True,False
299,8.605588734944066,RELOCATE,True,False
300,8.426939305374548,TWOOPT,True,True
301,8.44984260647339,TWOOPT,True,False
302,8.505994950158396,TWOOPT,True,False
303,7.938552886653168,TWOOPT,True,True
304,7.3429270569954745,RELOCATE,True,True
305,7.298977590271591,TWOOPT,True,True
306,8.46901878119168,TWOOPT,True,False
307,8.490138775567663,TWOOPT,True,False
308,8.521000041342381,TWOOPT,True,False
309,8.52654315825539,TWOOPT,True,False
310,8.269638252110104,TWOOPT,True,True
311,8.346974102215057,TWOOPT,True,False
312,8.332108194269129,TWOOPT,True,True
313,8.471015626335962,TWOOPT,True,False
314,8.529628087316384,TWOOPT,True,False
315,8.506585262690184,TWOOPT,True,True
316,8.62796677194587,TWOOPT,True,False
317,8.511046098988997,TWOOPT,True,True
318,8.95288475165955,TWOOPT,True,False
319,8.514921405760743,TWOOPT,True,True
320,8.968966205017765,TWOOPT,True,False
321,8.984530838309613,TWOOPT,True,False
322,8.950166613266186,RELOCATE,True,True
323,8.869695922027137,TWOOPT,True,True
324,8.667797285411277,TWOOPT,True,True
325,8.495312208526085,TWOOPT,True,True
326,7.730441397885481,RELOCATE,True,True
327,7.701450679357799,RELOCATE,True,True
328,8.25814396969442,TWOOPT,True,False
329,9.4829407388862,RELOCATE,True,False
330,8.660104585831998,TWOOPT,True,True
331,8.896486704054453,TWOOPT,True,False
332,8.799624227753302,RELOCATE,True,True
333,8.186871213044224,TWOOPT,True,True
334,8.519888271210778,TWOOPT,True,False
335,7.96682325160135,TWOOPT,True,True
336,7.489168112676559,TWOOPT,True,True
337,7.510881531187492,TWOOPT,True,False
338,7.111518421549986,TWOOPT,True,True
339,7.198239246038055,TWOOPT,True,False
340,7.597643733769229,TWOOPT,True,False
341,7.491385537553164,TWOOPT,True,True
342,7.523241627705542,TWOOPT,True,False
343,7.12546821578403,TWOOPT,True,True
344,7.13522469202514,TWOOPT,True,False
345,7.495930722518631,TWOOPT,True,False
346,6.920869477262446,TWOOPT,True,True
347,6.560163446768955,TWOOPT,True,True
348,6.614242233623839,TWOOPT,True,False
349,6.983129706045267,TWOOPT,True,False
350,6.586652418099333,TWOOPT,True,True
351,7.205852379718857,TWOOPT,True,False
352,6.496416464019884,TWOOPT,True,True
353,7.182304288659761,TWOOPT,True,False
354,7.671393917706894,RELOCATE,True,False
355,8.508167603828722,TWOOPT,True,False
356,8.349622749075913,RELOCATE,True,True
357,8.024077132530426,TWOOPT,True,True
358,7.904876429558907,TWOOPT,True,True
359,8.920133975318475,TWOOPT,True,False
360,9.044282620404093,TWOOPT,True,False
361,8.846464365598543,RELOCATE,True,True
362,8.815019116364628,RELOCATE,True,True
363,8.382536042723052,TWOOPT,True,True
364,8.728665066615005,TWOOPT,True,False
365,8.312025996484698,TWOOPT,True,True
366,8.173666348695807,RELOCATE,True,True
367,7.466242945061939,TWOOPT,True,True
368,7.1439562768521725,TWOOPT,True,True
369,7.644423934562577,TWOOPT,True,False
370,7.883023802781451,TWOOPT,True,False
371,7.3303689242709265,TWOOPT,True,True
372,7.522044576530732,TWOOPT,True,False
373,7.252005771795803,TWOOPT,True,True
374,7.68948222661588,RELOCATE,True,False
375,7.749282098938381,TWOOPT,True,False
376,8.143844079367268,TWOOPT,True,False
377,8.090029935543493,TWOOPT,True,True
378,7.161382548442981,TWOOPT,True,True
379,8.041137145160407,RELOCATE,True,False
380,7.625711481449615,TWOOPT,True,True
381,7.551935481131528,RELOCATE,True,True
382,7.578717081042163,TWOOPT,True,False
383,7.602254522788962,TWOOPT,True,False
384,7.432631678427111,TWOOPT,True,True
385,8.224055944533267,TWOOPT,True,False
386,8.241395722416735,TWOOPT,True,False
387,7.955435417748872,TWOOPT,True,True
388,7.526536886955547,TWOOPT,True,True
389,7.318406373702804,TWOOPT,True,True
390,7.881785335429874,RELOCATE,True,False
391,8.548116537845631,TWOOPT,True,False
392,7.2800333045250865,RELOCATE,True,True
393,7.524648920868397,TWOOPT,True,False
394,7.5294002567721,TWOOPT,True,False
395,7.6778687571039175,TWOOPT,True,False
396,7.358560674270351,TWOOPT,True,True
397,7.465062476018376,RELOCATE,True,False
398,7.343690169148225,RELOCATE,True,True
399,7.340690521052395,TWOOPT,True,True
400,7.810762618040684,RELOCATE,True,False
401,7.8124033049834285,TWOOPT,True,False
402,7.982968175853687,TWOOPT,True,False
403,7.62367289437519,RELOCATE,True,True
404,8.20995916437737,RELOCATE,True,False
405,7.373084048268735,RELOCATE,True,True
406,7.301219944560016,RELOCATE,True,True
407,7.464437375522671,TWOOPT,True,False
408,7.450679582618483,TWOOPT,True,True
409,7.999062764622499,TWOOPT,True,False
410,8.043476480615267,TWOOPT,True,False
411,8.392073412732566,TWOOPT,True,False
412,8.139000754504174,TWOOPT,True,True
413,8.718556653587452,RELOCATE,True,False
414,8.703782457551956,TWOOPT,True,True
415,8.721555622684582,TWOOPT,True,False
416,8.741232374108888,TWOOPT,True,False
417,7.623477470451581,TWOOPT,True,True
418,7.201946154912643,RELOCATE,True,True
419,7.327004567170851,TWOOPT,True,False
420,7.279034457868897,TWOOPT,True,True
421,7.091458000283077,TWOOPT,True,True
422,7.337121263321131,TWOOPT,True,False
423,7.381518240668996,TWOOPT,True,False
424,7.400490079481016,TWOOPT,True,False
425,7.911435726215683,TWOOPT,True,False
426,7.928137168726696,TWOOPT,True,False
427,8.062248549907377,TWOOPT,True,False
428,7.9671930738411,TWOOPT,True,True
429,7.652917223579666,TWOOPT,True,True
430,7.1795672004002435,TWOOPT,True,True
431,8.047678010475252,TWOOPT,True,False
432,7.99715137903749,TWOOPT,True,True
433,7.995320716587678,TWOOPT,True,True
434,7.970616928849413,TWOOPT,True,True
435,7.042419215911241,RELOCATE,True,True
436,6.96304888804691,TWOOPT,True,True
437,9.078964106837118,TWOOPT,True,False
438,8.363168018682693,RELOCATE,True,True
439,8.381500843319103,TWOOPT,True,False
440,6.981885289947375,TWOOPT,True,True
441,7.267750707380943,RELOCATE,True,False
442,7.24228186692755,TWOOPT,True,True
443,6.7702685472533854,TWOOPT,True,True
444,7.498422547583328,TWOOPT,True,False
445,7.474347909383815,TWOOPT,True,True
