file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4571.519336875,"[1236.777253125, 912.247253125, 880.7948306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2246.1016203703703,0.01,10.0,0.45,62,57,12,12,0,0,17,14
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4676.049336875,"[1109.1072531250002, 1139.5366475, 850.87543625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2069.529938271605,0.01,10.0,0.45,49,42,8,6,4,3,30,23
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4396.019336875001,"[1077.997253125, 976.6772531250001, 690.5648306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1957.8300154320987,0.01,10.0,0.45,72,60,7,7,0,0,15,15
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4397.779336875001,"[1021.3872531250001, 994.357253125, 730.1748306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1855.0522376543208,0.01,10.0,0.45,77,67,5,5,0,0,16,13
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4305.619336875001,"[997.0772531250001, 1025.297253125, 711.3048306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1862.1510030864197,0.01,10.0,0.45,60,54,5,4,0,0,25,23
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4460.669336875,"[1004.5572531250001, 1040.0872531250002, 831.6648306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1889.0028549382716,0.01,10.0,0.46,44,35,9,9,0,0,20,19
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4337.959336875001,"[1021.0472531250001, 964.4372531250001, 767.5748306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1854.4349537037037,0.01,10.0,0.45,70,57,4,3,0,0,18,15
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4360.909336875,"[960.0172531250001, 1021.7272531250001, 762.1348306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1855.6695216049382,0.01,10.0,0.44,65,54,12,9,0,0,16,16
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4479.089336875,"[965.7972531250001, 1114.037253125, 680.7048306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2023.2621141975308,0.01,10.0,0.44,60,50,13,12,0,0,12,10
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4494.829336875,"[994.6966475, 1053.68785875, 741.394830625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1913.7060185185185,0.01,10.0,0.45,61,57,4,4,1,1,19,18
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4293.009336875,"[971.5772531250001, 989.4272531250001, 843.2248306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1797.0275462962964,0.01,10.0,0.45,61,50,12,9,0,0,21,15
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,3969.3093368750006,"[798.1772531250001, 785.0872531250001, 743.0948306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1449.805324074074,0.01,10.0,0.44,61,55,14,13,0,0,27,26
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4440.839336875,"[1082.586041875, 849.00785875, 854.95543625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1966.1230709876543,0.01,10.0,0.45,60,51,7,7,2,2,8,8
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4288.779336875001,"[828.9472531250001, 991.8072531250001, 880.9648306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1801.3485339506171,0.01,10.0,0.44,57,53,8,8,0,0,26,22
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4395.299336875,"[906.4672531250001, 1038.557253125, 688.524830625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1886.2250771604938,0.01,10.0,0.45,74,65,10,9,0,0,14,13
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4133.079336875,"[821.8072531250001, 1019.6872531250001, 725.5848306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1851.9658179012345,0.01,10.0,0.45,68,58,8,7,2,2,10,9
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4885.2193368749995,"[1258.707253125, 1092.447253125, 1205.6648306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2285.916435185185,0.01,50.0,0.45,68,51,19,13,0,0,56,39
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4563.729336875,"[1211.44785875, 1216.54907, 781.682408125]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2209.408641975309,0.01,50.0,0.44,82,58,7,6,4,2,48,36
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4519.279336875001,"[1012.8872531250001, 1214.8472531250002, 756.8648306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2206.2868055555555,0.01,50.0,0.44,91,62,18,13,0,0,35,24
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4528.129336875,"[1140.557253125, 1149.9066475000002, 786.95543625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2088.3570987654316,0.01,50.0,0.45,79,61,12,7,1,0,45,37
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4787.929336875,"[1231.50785875, 1174.3872531250001, 932.134225]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2236.545524691358,0.01,50.0,0.44,88,55,14,9,3,2,29,21
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4791.819336875001,"[1071.3672531250002, 1147.1866475000002, 1005.9154362500001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2083.4188271604935,0.01,50.0,0.44,85,55,16,9,1,1,61,46
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4740.839336875,"[1151.6072531250002, 1219.0972531250002, 970.7248306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2214.0028549382714,0.01,50.0,0.45,82,64,12,12,2,2,56,35
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4489.939336875001,"[983.6472531250001, 1135.286041875, 873.3160418750001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2061.802083333333,0.01,50.0,0.45,80,58,11,6,5,4,37,24
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4622.439336875001,"[1198.187253125, 1075.277253125, 924.9948306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2176.0398919753084,0.01,50.0,0.44,69,48,16,9,0,0,38,27
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4820.209336875,"[1251.227253125, 1215.18785875, 855.2942250000001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2272.3361882716044,0.01,50.0,0.45,72,55,11,8,2,0,63,40
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4412.899336875,"[1073.06907, 964.2654362500001, 965.6248306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1948.9148148148147,0.01,50.0,0.44,93,67,14,7,4,3,35,21
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4556.5993368750005,"[998.9460418750001, 1128.3196756250002, 888.443619375]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2049.2519290123455,0.01,50.0,0.46,63,44,13,12,8,4,69,47
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4818.949336875001,"[1183.7366475000001, 1242.7284643750002, 898.3042250000001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2256.927700617284,0.01,50.0,0.44,76,55,11,6,2,2,46,26
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4522.619336875,"[1132.3972531250001, 998.4354362500001, 890.3166475]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2056.595447530864,0.01,50.0,0.45,103,65,23,11,5,4,45,34
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4764.329336875,"[1257.177253125, 1011.6972531250001, 893.5448306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2283.138657407407,0.01,50.0,0.45,75,47,11,9,3,2,23,17
