file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2640.68270375,"[999.2751406250001, 188.533028125, 925.8345350000001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1814.609336419753,0.1,500.0,13.32,2768,1401,1910,972,1563,777,11346,5582
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2692.42270375,"[585.325140625, 558.7954506250001, 932.9721125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1694.1466049382714,0.1,200.0,13.54,1823,897,1082,560,664,347,6910,3491
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2689.74270375,"[823.4921125, 316.375450625, 1174.035140625]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2131.8932870370368,0.1,200.0,13.57,1619,812,1077,487,573,284,7007,3492
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2700.97270375,"[1254.954535, 112.715450625, 940.452718125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2278.778395061728,0.1,200.0,13.35,2044,1078,1279,616,596,295,7310,3686
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2744.02270375,"[728.2927181250001, 560.32847875, 1058.771506875]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1922.5298611111111,0.1,200.0,13.44,1874,933,1131,565,767,373,7144,3557
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2679.48270375,"[344.25847875, 976.6627181250001, 749.711506875]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1773.4960648148146,0.1,200.0,13.51,1739,854,1140,533,629,334,7340,3712
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2724.63270375,"[556.754845, 1103.997563125, 450.17029562500005]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2004.7966820987651,0.1,200.0,13.43,1763,881,1107,547,661,293,7072,3586
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2590.41270375,"[66.6424225, 1245.609985625, 638.5302956250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2261.9593364197526,0.1,200.0,13.47,1988,994,1159,602,679,323,7005,3535
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2682.74270375,"[1114.535140625, 661.6521125, 333.88545062500003]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2023.868595679012,0.1,200.0,13.45,1866,934,1185,580,695,311,7235,3655
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2737.11270375,"[1116.405140625, 558.2902956250001, 696.8372675]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2027.2636574074072,0.1,200.0,13.41,1743,880,1012,493,674,311,7188,3568
